,prices,hour,day,week,month
219,12.01,3,2,1,0
220,11.26,4,2,1,0
221,16.0,5,2,1,0
222,21.01,6,2,1,0
223,36.0,7,2,1,0
224,35.87,8,2,1,0
225,37.21,9,2,1,0
226,37.1,10,2,1,0
227,37.05,11,2,1,0
228,37.48,12,2,1,0
229,36.11,13,2,1,0
230,36.01,14,2,1,0
231,34.21,15,2,1,0
232,38.06,16,2,1,0
233,46.0,17,2,1,0
234,50.0,18,2,1,0
235,42.54,19,2,1,0
236,38.07,20,2,1,0
237,30.5,21,2,1,0
238,28.0,22,2,1,0
239,27.18,23,2,1,0
240,15.4,0,3,1,0
241,16.71,1,3,1,0
242,14.8,2,3,1,0
243,9.5,3,3,1,0
244,8.18,4,3,1,0
245,15.5,5,3,1,0
246,22.91,6,3,1,0
247,35.99,7,3,1,0
248,39.93,8,3,1,0
249,39.44,9,3,1,0
250,38.0,10,3,1,0
251,38.0,11,3,1,0
252,37.05,12,3,1,0
253,35.69,13,3,1,0
254,35.59,14,3,1,0
255,33.1,15,3,1,0
256,37.62,16,3,1,0
257,45.48,17,3,1,0
258,49.43,18,3,1,0
259,42.06,19,3,1,0
260,37.64,20,3,1,0
261,29.71,21,3,1,0
262,25.93,22,3,1,0
263,23.17,23,3,1,0
264,14.59,0,4,1,0
265,17.99,1,4,1,0
266,15.0,2,4,1,0
267,12.01,3,4,1,0
268,9.07,4,4,1,0
269,18.8,5,4,1,0
270,23.0,6,4,1,0
271,33.0,7,4,1,0
272,36.2,8,4,1,0
273,34.5,9,4,1,0
274,34.99,10,4,1,0
275,34.8,11,4,1,0
276,34.0,12,4,1,0
277,34.49,13,4,1,0
278,31.99,14,4,1,0
279,29.9,15,4,1,0
280,29.5,16,4,1,0
281,35.3,17,4,1,0
282,38.0,18,4,1,0
283,38.5,19,4,1,0
284,32.0,20,4,1,0
285,24.99,21,4,1,0
286,26.99,22,4,1,0
287,23.43,23,4,1,0
288,23.0,0,5,1,0
289,21.0,1,5,1,0
290,16.0,2,5,1,0
291,11.6,3,5,1,0
292,1.04,4,5,1,0
293,10.01,5,5,1,0
294,13.0,6,5,1,0
295,16.01,7,5,1,0
296,24.41,8,5,1,0
297,32.0,9,5,1,0
298,31.99,10,5,1,0
299,31.99,11,5,1,0
300,35.0,12,5,1,0
301,32.99,13,5,1,0
302,24.22,14,5,1,0
303,24.42,15,5,1,0
304,23.77,16,5,1,0
305,31.99,17,5,1,0
306,36.99,18,5,1,0
307,36.66,19,5,1,0
308,29.56,20,5,1,0
309,22.01,21,5,1,0
310,24.01,22,5,1,0
311,23.7,23,5,1,0
312,16.0,0,6,1,0
313,15.01,1,6,1,0
314,13.01,2,6,1,0
315,0.01,3,6,1,0
316,11.01,4,6,1,0
317,11.01,5,6,1,0
318,9.01,6,6,1,0
319,12.01,7,6,1,0
320,10.61,8,6,1,0
321,19.91,9,6,1,0
322,27.99,10,6,1,0
323,28.99,11,6,1,0
324,31.0,12,6,1,0
325,26.0,13,6,1,0
326,22.66,14,6,1,0
327,12.28,15,6,1,0
328,17.91,16,6,1,0
329,27.0,17,6,1,0
330,35.0,18,6,1,0
331,37.0,19,6,1,0
332,35.0,20,6,1,0
333,29.0,21,6,1,0
334,31.0,22,6,1,0
335,24.0,23,6,1,0
336,23.07,0,0,2,0
337,22.42,1,0,2,0
338,21.84,2,0,2,0
339,17.4,3,0,2,0
340,21.0,4,0,2,0
341,24.0,5,0,2,0
342,27.0,6,0,2,0
343,43.99,7,0,2,0
344,39.9,8,0,2,0
345,44.29,9,0,2,0
346,43.59,10,0,2,0
347,44.19,11,0,2,0
348,39.99,12,0,2,0
349,39.99,13,0,2,0
350,37.0,14,0,2,0
351,33.57,15,0,2,0
352,39.89,16,0,2,0
353,49.0,17,0,2,0
354,62.46,18,0,2,0
355,47.5,19,0,2,0
356,40.6,20,0,2,0
357,28.0,21,0,2,0
358,27.01,22,0,2,0
359,25.67,23,0,2,0
360,26.28,0,1,2,0
361,22.0,1,1,2,0
362,20.51,2,1,2,0
363,20.0,3,1,2,0
364,17.1,4,1,2,0
365,24.81,5,1,2,0
366,28.06,6,1,2,0
367,45.0,7,1,2,0
368,48.0,8,1,2,0
369,46.4,9,1,2,0
370,47.3,10,1,2,0
371,48.11,11,1,2,0
372,47.54,12,1,2,0
373,45.2,13,1,2,0
374,43.64,14,1,2,0
375,41.84,15,1,2,0
376,45.59,16,1,2,0
377,55.1,17,1,2,0
378,62.62,18,1,2,0
379,52.99,19,1,2,0
380,43.0,20,1,2,0
381,32.25,21,1,2,0
382,30.23,22,1,2,0
383,25.45,23,1,2,0
384,20.0,0,2,2,0
385,19.0,1,2,2,0
386,18.0,2,2,2,0
387,13.68,3,2,2,0
388,11.01,4,2,2,0
389,16.01,5,2,2,0
390,22.01,6,2,2,0
391,35.99,7,2,2,0
392,39.96,8,2,2,0
393,35.99,9,2,2,0
394,34.98,10,2,2,0
395,41.63,11,2,2,0
396,35.14,12,2,2,0
397,35.0,13,2,2,0
398,32.0,14,2,2,0
399,30.0,15,2,2,0
400,34.96,16,2,2,0
401,75.0,17,2,2,0
402,60.0,18,2,2,0
403,39.9,19,2,2,0
404,31.99,20,2,2,0
405,27.99,21,2,2,0
406,26.0,22,2,2,0
407,22.01,23,2,2,0
408,21.14,0,3,2,0
409,18.0,1,3,2,0
410,15.06,2,3,2,0
411,14.25,3,3,2,0
412,12.51,4,3,2,0
413,22.5,5,3,2,0
414,25.5,6,3,2,0
415,35.99,7,3,2,0
416,39.96,8,3,2,0
417,60.0,9,3,2,0
418,80.0,10,3,2,0
419,124.0,11,3,2,0
420,49.99,12,3,2,0
421,75.0,13,3,2,0
422,60.0,14,3,2,0
423,43.01,15,3,2,0
424,50.06,16,3,2,0
425,129.44,17,3,2,0
426,49.99,18,3,2,0
427,35.99,19,3,2,0
428,32.99,20,3,2,0
429,25.49,21,3,2,0
430,24.01,22,3,2,0
431,19.0,23,3,2,0
432,15.21,0,4,2,0
433,12.15,1,4,2,0
434,12.01,2,4,2,0
435,10.31,3,4,2,0
436,9.72,4,4,2,0
437,17.49,5,4,2,0
438,29.29,6,4,2,0
439,40.0,7,4,2,0
440,36.0,8,4,2,0
441,34.8,9,4,2,0
442,34.8,10,4,2,0
443,34.8,11,4,2,0
444,34.69,12,4,2,0
445,32.19,13,4,2,0
446,29.99,14,4,2,0
447,28.0,15,4,2,0
448,32.02,16,4,2,0
449,46.0,17,4,2,0
450,46.79,18,4,2,0
451,32.3,19,4,2,0
452,29.0,20,4,2,0
453,22.0,21,4,2,0
454,21.25,22,4,2,0
455,16.3,23,4,2,0
456,14.0,0,5,2,0
457,13.11,1,5,2,0
458,12.01,2,5,2,0
459,11.01,3,5,2,0
460,8.0,4,5,2,0
461,11.8,5,5,2,0
462,10.01,6,5,2,0
463,15.59,7,5,2,0
464,24.59,8,5,2,0
465,27.39,9,5,2,0
466,31.49,10,5,2,0
467,32.39,11,5,2,0
468,33.09,12,5,2,0
469,31.29,13,5,2,0
470,28.0,14,5,2,0
471,24.19,15,5,2,0
472,9.17,16,5,2,0
473,32.39,17,5,2,0
474,35.79,18,5,2,0
475,34.39,19,5,2,0
476,32.69,20,5,2,0
477,25.99,21,5,2,0
478,25.0,22,5,2,0
479,19.0,23,5,2,0
480,8.01,0,6,2,0
481,8.31,1,6,2,0
482,7.21,2,6,2,0
483,0.01,3,6,2,0
484,5.11,4,6,2,0
485,8.31,5,6,2,0
486,2.01,6,6,2,0
487,5.31,7,6,2,0
488,7.31,8,6,2,0
489,8.68,9,6,2,0
490,9.31,10,6,2,0
491,20.09,11,6,2,0
492,21.79,12,6,2,0
493,18.89,13,6,2,0
494,9.18,14,6,2,0
495,9.17,15,6,2,0
496,8.31,16,6,2,0
497,24.99,17,6,2,0
498,26.01,18,6,2,0
499,29.0,19,6,2,0
500,27.99,20,6,2,0
501,26.0,21,6,2,0
502,23.3,22,6,2,0
503,18.89,23,6,2,0
504,16.69,0,0,3,0
505,16.09,1,0,3,0
506,16.59,2,0,3,0
507,9.18,3,0,3,0
508,10.81,4,0,3,0
509,20.74,5,0,3,0
510,24.6,6,0,3,0
511,56.45,7,0,3,0
512,51.0,8,0,3,0
513,52.7,9,0,3,0
514,53.0,10,0,3,0
515,50.5,11,0,3,0
516,49.93,12,0,3,0
517,49.99,13,0,3,0
518,47.27,14,0,3,0
519,44.41,15,0,3,0
520,47.95,16,0,3,0
521,54.2,17,0,3,0
522,67.12,18,0,3,0
523,51.41,19,0,3,0
524,57.17,20,0,3,0
525,42.65,21,0,3,0
526,40.0,22,0,3,0
527,38.66,23,0,3,0
528,30.81,0,1,3,0
529,26.27,1,1,3,0
530,25.0,2,1,3,0
531,24.5,3,1,3,0
532,23.64,4,1,3,0
533,27.1,5,1,3,0
534,35.28,6,1,3,0
535,57.0,7,1,3,0
536,61.44,8,1,3,0
537,63.18,9,1,3,0
538,65.5,10,1,3,0
539,67.54,11,1,3,0
540,61.95,12,1,3,0
541,58.4,13,1,3,0
542,55.66,14,1,3,0
543,54.15,15,1,3,0
544,71.01,16,1,3,0
545,99.99,17,1,3,0
546,115.54,18,1,3,0
547,83.93,19,1,3,0
548,54.28,20,1,3,0
549,42.38,21,1,3,0
550,43.0,22,1,3,0
551,38.0,23,1,3,0
552,35.0,0,2,3,0
553,33.67,1,2,3,0
554,30.0,2,2,3,0
555,29.14,3,2,3,0
556,26.99,4,2,3,0
557,32.01,5,2,3,0
558,38.0,6,2,3,0
559,65.2,7,2,3,0
560,65.0,8,2,3,0
561,65.0,9,2,3,0
562,66.01,10,2,3,0
563,66.01,11,2,3,0
564,62.0,12,2,3,0
565,59.76,13,2,3,0
566,58.0,14,2,3,0
567,54.0,15,2,3,0
568,78.0,16,2,3,0
569,99.48,17,2,3,0
570,111.2,18,2,3,0
571,83.25,19,2,3,0
572,57.07,20,2,3,0
573,47.04,21,2,3,0
574,46.01,22,2,3,0
575,43.0,23,2,3,0
576,32.86,0,3,3,0
577,30.5,1,3,3,0
578,29.57,2,3,3,0
579,26.89,3,3,3,0
580,26.8,4,3,3,0
581,30.0,5,3,3,0
582,38.01,6,3,3,0
583,57.18,7,3,3,0
584,62.0,8,3,3,0
585,63.24,9,3,3,0
586,66.49,10,3,3,0
587,68.0,11,3,3,0
588,63.91,12,3,3,0
589,61.0,13,3,3,0
590,58.46,14,3,3,0
591,55.68,15,3,3,0
592,64.08,16,3,3,0
593,97.0,17,3,3,0
594,117.9,18,3,3,0
595,82.4,19,3,3,0
596,57.18,20,3,3,0
597,49.01,21,3,3,0
598,45.0,22,3,3,0
599,40.07,23,3,3,0
600,33.14,0,4,3,0
601,30.0,1,4,3,0
602,29.01,2,4,3,0
603,28.76,3,4,3,0
604,28.0,4,4,3,0
605,29.0,5,4,3,0
606,34.21,6,4,3,0
607,57.2,7,4,3,0
608,52.01,8,4,3,0
609,53.02,9,4,3,0
610,56.03,10,4,3,0
611,54.5,11,4,3,0
612,51.0,12,4,3,0
613,47.99,13,4,3,0
614,41.99,14,4,3,0
615,38.58,15,4,3,0
616,43.0,16,4,3,0
617,51.93,17,4,3,0
618,60.0,18,4,3,0
619,53.87,19,4,3,0
620,50.2,20,4,3,0
621,38.0,21,4,3,0
622,35.6,22,4,3,0
623,30.01,23,4,3,0
624,38.99,0,5,3,0
625,28.08,1,5,3,0
626,23.05,2,5,3,0
627,22.34,3,5,3,0
628,19.0,4,5,3,0
629,22.02,5,5,3,0
630,23.15,6,5,3,0
631,28.0,7,5,3,0
632,35.0,8,5,3,0
633,44.99,9,5,3,0
634,49.0,10,5,3,0
635,47.0,11,5,3,0
636,47.99,12,5,3,0
637,41.0,13,5,3,0
638,37.0,14,5,3,0
639,34.12,15,5,3,0
640,36.99,16,5,3,0
641,44.0,17,5,3,0
642,53.0,18,5,3,0
643,51.99,19,5,3,0
644,47.0,20,5,3,0
645,35.01,21,5,3,0
646,39.0,22,5,3,0
647,39.99,23,5,3,0
648,43.99,0,6,3,0
649,44.0,1,6,3,0
650,27.72,2,6,3,0
651,29.0,3,6,3,0
652,26.0,4,6,3,0
653,28.0,5,6,3,0
654,26.99,6,6,3,0
655,32.0,7,6,3,0
656,33.99,8,6,3,0
657,37.99,9,6,3,0
658,40.0,10,6,3,0
659,41.49,11,6,3,0
660,42.99,12,6,3,0
661,40.0,13,6,3,0
662,36.99,14,6,3,0
663,29.0,15,6,3,0
664,33.0,16,6,3,0
665,35.6,17,6,3,0
666,48.15,18,6,3,0
667,53.0,19,6,3,0
668,48.0,20,6,3,0
669,40.99,21,6,3,0
670,44.99,22,6,3,0
671,39.0,23,6,3,0
672,33.4,0,0,4,0
673,35.0,1,0,4,0
674,31.81,2,0,4,0
675,23.31,3,0,4,0
676,15.66,4,0,4,0
677,31.71,5,0,4,0
678,33.91,6,0,4,0
679,50.18,7,0,4,0
680,53.0,8,0,4,0
681,53.49,9,0,4,0
682,52.91,10,0,4,0
683,56.49,11,0,4,0
684,55.31,12,0,4,0
685,56.01,13,0,4,0
686,53.0,14,0,4,0
687,50.07,15,0,4,0
688,51.09,16,0,4,0
689,53.0,17,0,4,0
690,100.0,18,0,4,0
691,69.92,19,0,4,0
692,50.04,20,0,4,0
693,41.6,21,0,4,0
694,39.03,22,0,4,0
695,34.51,23,0,4,0
696,32.01,0,1,4,0
697,26.0,1,1,4,0
698,24.4,2,1,4,0
699,23.0,3,1,4,0
700,20.01,4,1,4,0
701,23.01,5,1,4,0
702,35.01,6,1,4,0
703,49.41,7,1,4,0
704,48.2,8,1,4,0
705,53.01,9,1,4,0
706,53.0,10,1,4,0
707,54.0,11,1,4,0
708,52.01,12,1,4,0
709,47.91,13,1,4,0
710,45.0,14,1,4,0
711,43.0,15,1,4,0
712,48.16,16,1,4,0
713,57.18,17,1,4,0
714,64.78,18,1,4,0
715,56.0,19,1,4,0
716,47.21,20,1,4,0
717,35.61,21,1,4,0
718,38.3,22,1,4,0
719,26.71,23,1,4,0
720,30.0,0,2,4,0
721,27.18,1,2,4,0
722,25.5,2,2,4,0
723,24.9,3,2,4,0
724,16.79,4,2,4,0
725,25.01,5,2,4,0
726,29.01,6,2,4,0
727,48.7,7,2,4,0
728,49.0,8,2,4,0
729,49.7,9,2,4,0
730,49.5,10,2,4,0
731,49.01,11,2,4,0
732,48.0,12,2,4,0
733,46.01,13,2,4,0
734,44.0,14,2,4,0
735,38.05,15,2,4,0
736,41.24,16,2,4,0
737,52.0,17,2,4,0
738,58.07,18,2,4,0
739,50.01,19,2,4,0
740,42.01,20,2,4,0
741,33.01,21,2,4,0
742,36.0,22,2,4,0
743,26.01,23,2,4,0
744,28.0,0,3,4,1
745,27.8,1,3,4,1
746,26.0,2,3,4,1
747,24.0,3,3,4,1
748,23.2,4,3,4,1
749,30.0,5,3,4,1
750,35.0,6,3,4,1
751,50.19,7,3,4,1
752,53.0,8,3,4,1
753,54.69,9,3,4,1
754,58.78,10,3,4,1
755,56.55,11,3,4,1
756,52.0,12,3,4,1
757,55.01,13,3,4,1
758,51.23,14,3,4,1
759,50.22,15,3,4,1
760,56.07,16,3,4,1
761,62.26,17,3,4,1
762,87.1,18,3,4,1
763,60.48,19,3,4,1
764,49.99,20,3,4,1
765,38.01,21,3,4,1
766,38.01,22,3,4,1
767,31.81,23,3,4,1
768,26.81,0,4,4,1
769,25.81,1,4,4,1
770,25.5,2,4,4,1
771,25.0,3,4,4,1
772,19.59,4,4,4,1
773,26.01,5,4,4,1
774,32.85,6,4,4,1
775,49.82,7,4,4,1
776,51.0,8,4,4,1
777,52.0,9,4,4,1
778,52.0,10,4,4,1
779,52.0,11,4,4,1
780,49.83,12,4,4,1
781,47.84,13,4,4,1
782,44.42,14,4,4,1
783,40.68,15,4,4,1
784,39.57,16,4,4,1
785,47.9,17,4,4,1
786,53.6,18,4,4,1
787,49.38,19,4,4,1
788,38.99,20,4,4,1
789,32.0,21,4,4,1
790,28.91,22,4,4,1
791,28.71,23,4,4,1
792,29.0,0,5,4,1
793,25.12,1,5,4,1
794,24.0,2,5,4,1
795,20.86,3,5,4,1
796,10.6,4,5,4,1
797,18.0,5,5,4,1
798,16.99,6,5,4,1
799,26.8,7,5,4,1
800,28.81,8,5,4,1
801,29.41,9,5,4,1
802,31.5,10,5,4,1
803,30.99,11,5,4,1
804,30.51,12,5,4,1
805,28.91,13,5,4,1
806,27.4,14,5,4,1
807,23.31,15,5,4,1
808,23.17,16,5,4,1
809,31.01,17,5,4,1
810,37.99,18,5,4,1
811,37.23,19,5,4,1
812,30.91,20,5,4,1
813,27.41,21,5,4,1
814,30.21,22,5,4,1
815,29.91,23,5,4,1
816,31.31,0,6,4,1
817,29.5,1,6,4,1
818,28.8,2,6,4,1
819,20.95,3,6,4,1
820,18.42,4,6,4,1
821,18.8,5,6,4,1
822,17.95,6,6,4,1
823,19.1,7,6,4,1
824,26.91,8,6,4,1
825,32.28,9,6,4,1
826,32.0,10,6,4,1
827,32.92,11,6,4,1
828,33.0,12,6,4,1
829,30.08,13,6,4,1
830,27.39,14,6,4,1
831,23.93,15,6,4,1
832,24.34,16,6,4,1
833,30.03,17,6,4,1
834,45.05,18,6,4,1
835,44.5,19,6,4,1
836,43.2,20,6,4,1
837,35.12,21,6,4,1
838,36.0,22,6,4,1
839,30.45,23,6,4,1
840,23.91,0,0,5,1
841,24.04,1,0,5,1
842,23.9,2,0,5,1
843,20.01,3,0,5,1
844,19.12,4,0,5,1
845,23.18,5,0,5,1
846,30.0,6,0,5,1
847,47.08,7,0,5,1
848,51.96,8,0,5,1
849,55.0,9,0,5,1
850,51.99,10,0,5,1
851,53.0,11,0,5,1
852,50.53,12,0,5,1
853,49.23,13,0,5,1
854,47.0,14,0,5,1
855,46.0,15,0,5,1
856,41.0,16,0,5,1
857,48.09,17,0,5,1
858,57.24,18,0,5,1
859,52.0,19,0,5,1
860,43.99,20,0,5,1
861,32.93,21,0,5,1
862,28.11,22,0,5,1
863,25.5,23,0,5,1
864,29.91,0,1,5,1
865,27.41,1,1,5,1
866,26.41,2,1,5,1
867,24.36,3,1,5,1
868,23.59,4,1,5,1
869,30.1,5,1,5,1
870,37.11,6,1,5,1
871,59.48,7,1,5,1
872,58.96,8,1,5,1
873,59.76,9,1,5,1
874,56.3,10,1,5,1
875,55.2,11,1,5,1
876,52.3,12,1,5,1
877,51.73,13,1,5,1
878,49.91,14,1,5,1
879,48.0,15,1,5,1
880,57.3,16,1,5,1
881,69.39,17,1,5,1
882,91.01,18,1,5,1
883,64.99,19,1,5,1
884,50.18,20,1,5,1
885,40.39,21,1,5,1
886,38.0,22,1,5,1
887,32.35,23,1,5,1
888,29.18,0,2,5,1
889,29.81,1,2,5,1
890,30.21,2,2,5,1
891,29.81,3,2,5,1
892,26.7,4,2,5,1
893,28.24,5,2,5,1
894,41.0,6,2,5,1
895,63.17,7,2,5,1
896,57.99,8,2,5,1
897,61.3,9,2,5,1
898,59.0,10,2,5,1
899,62.6,11,2,5,1
900,61.0,12,2,5,1
901,58.74,13,2,5,1
902,54.99,14,2,5,1
903,52.99,15,2,5,1
904,56.0,16,2,5,1
905,67.49,17,2,5,1
906,102.2,18,2,5,1
907,66.01,19,2,5,1
908,57.82,20,2,5,1
909,45.34,21,2,5,1
910,41.99,22,2,5,1
911,38.36,23,2,5,1
912,27.01,0,3,5,1
913,28.11,1,3,5,1
914,27.1,2,3,5,1
915,24.61,3,3,5,1
916,22.5,4,3,5,1
917,25.01,5,3,5,1
918,33.0,6,3,5,1
919,53.0,7,3,5,1
920,50.75,8,3,5,1
921,52.99,9,3,5,1
922,53.2,10,3,5,1
923,53.8,11,3,5,1
924,53.99,12,3,5,1
925,52.0,13,3,5,1
926,50.0,14,3,5,1
927,45.39,15,3,5,1
928,43.0,16,3,5,1
929,44.3,17,3,5,1
930,65.01,18,3,5,1
931,54.01,19,3,5,1
932,47.99,20,3,5,1
933,38.0,21,3,5,1
934,34.11,22,3,5,1
935,34.01,23,3,5,1
936,28.4,0,4,5,1
937,28.0,1,4,5,1
938,26.01,2,4,5,1
939,24.6,3,4,5,1
940,20.11,4,4,5,1
941,25.91,5,4,5,1
942,29.69,6,4,5,1
943,45.1,7,4,5,1
944,49.23,8,4,5,1
945,48.1,9,4,5,1
946,48.0,10,4,5,1
947,48.11,11,4,5,1
948,46.0,12,4,5,1
949,43.6,13,4,5,1
950,40.89,14,4,5,1
951,37.92,15,4,5,1
952,38.0,16,4,5,1
953,38.0,17,4,5,1
954,51.99,18,4,5,1
955,48.17,19,4,5,1
956,40.04,20,4,5,1
957,33.11,21,4,5,1
958,32.0,22,4,5,1
959,28.46,23,4,5,1
960,28.43,0,5,5,1
961,27.8,1,5,5,1
962,25.0,2,5,5,1
963,21.58,3,5,5,1
964,15.79,4,5,5,1
965,19.13,5,5,5,1
966,19.0,6,5,5,1
967,26.01,7,5,5,1
968,28.01,8,5,5,1
969,31.99,9,5,5,1
970,34.0,10,5,5,1
971,34.27,11,5,5,1
972,34.86,12,5,5,1
973,31.21,13,5,5,1
974,28.01,14,5,5,1
975,26.07,15,5,5,1
976,26.0,16,5,5,1
977,29.99,17,5,5,1
978,35.08,18,5,5,1
979,35.99,19,5,5,1
980,31.87,20,5,5,1
981,26.1,21,5,5,1
982,29.87,22,5,5,1
983,26.75,23,5,5,1
984,24.0,0,6,5,1
985,22.0,1,6,5,1
986,20.3,2,6,5,1
987,13.6,3,6,5,1
988,10.01,4,6,5,1
989,10.01,5,6,5,1
990,5.51,6,6,5,1
991,7.1,7,6,5,1
992,16.17,8,6,5,1
993,22.0,9,6,5,1
994,24.21,10,6,5,1
995,25.91,11,6,5,1
996,24.99,12,6,5,1
997,22.71,13,6,5,1
